piratesofersatz_01_leinster_64kb_f000001|The pirates of ersatz by Murray Leinster. Chapter 1.|The pirates of ersatz by Murray Leinster. Chapter one.
piratesofersatz_07_leinster_64kb_f000044|Hoddan drove toward the spot with very light touches of rocket power. He swung the boat around and killed its relative velocity.|Hoddan drove toward the spot with very light touches of rocket power. He swung the boat around and killed its relative velocity.
piratesofersatz_07_leinster_64kb_f000045|The leading ship was a sort of gigantic, shapeless, utterly preposterous ark-like thing. Hoddan could neither imagine a purpose for which it could have been used,|The leading ship was a sort of gigantic, shapeless, utterly preposterous ark-like thing. Hoddan could neither imagine a purpose for which it could have been used,
piratesofersatz_07_leinster_64kb_f000046|nor a time when men would have built anything like it.|nor a time when men would have built anything like it.
piratesofersatz_07_leinster_64kb_f000047|Its huge sides seemed to be made exclusively of great doorways now tightly closed.|Its huge sides seemed to be made exclusively of great doorways now tightly closed.
piratesofersatz_07_leinster_64kb_f000048|One of those doorways suddenly gaped wide. It would have admitted a good-sized modern ship. A nervous voice essayed to give Hoddan directions for getting the spaceboat inside what was plainly an enormous hold now pumped empty of air.|One of those doorways suddenly gaped wide. It would have admitted a good-sized modern ship. A nervous voice essayed to give Hoddan directions for getting the spaceboat inside what was plainly an enormous hold now pumped empty of air.
piratesofersatz_07_leinster_64kb_f000049|He grunted and made the attempt. It was tricky. He sweated when he cut off his power. But he felt fairly safe. Rocket flames would burn down such a door, if necessary.|He grunted and made the attempt. It was tricky. He sweated when he cut off his power. But he felt fairly safe. Rocket flames would burn down such a door, if necessary.
piratesofersatz_07_leinster_64kb_f000050|He could work havoc if hostilities began.|He could work havoc if hostilities began.
piratesofersatz_07_leinster_64kb_f000051|The great cargo door swung shut. The outside-pressure needle swung sharply and stopped at thirty centimeters of mercury pressure.|The great cargo door swung shut. The outside-pressure needle swung sharply and stopped at thirty centimeters of mercury pressure.
piratesofersatz_07_leinster_64kb_f000052|There was a clanging. A smaller door evidently opened somewhere. Lights came on — old-fashioned glow tubes. Then figures appeared through a door leading to some other part of this ship.|There was a clanging. A smaller door evidently opened somewhere. Lights came on - old-fashioned glow tubes. Then figures appeared through a door leading to some other part of this ship.
piratesofersatz_07_leinster_64kb_f000053|Hoddan nodded to himself. The costume was odd. It was awkward. It was even primitive, but not in the fashion of the soiled but gaudily colored garments of Darth.|Hoddan nodded to himself. The costume was odd. It was awkward. It was even primitive, but not in the fashion of the soiled but gaudily colored garments of Darth.
piratesofersatz_07_leinster_64kb_f000054|These men wore unrelieved black, with gray shirts. There was no touch of color about them. Even the younger ones wore beards.|These men wore unrelieved black, with gray shirts. There was no touch of color about them. Even the younger ones wore beards.
piratesofersatz_07_leinster_64kb_f000055|And of all unnecessary things, they wore flat-brimmed hats — in a spaceship!|And of all unnecessary things, they wore flat-brimmed hats - in a spaceship!
piratesofersatz_07_leinster_64kb_f000056|Hoddan opened the boat door and said politely:|Hoddan opened the boat door and said politely:
piratesofersatz_07_leinster_64kb_f000057|Good morning. I'm Bron Hoddan. You were talking to me just now.|Good morning. I'm Bron Hoddan. You were talking to me just now.
piratesofersatz_07_leinster_64kb_f000058|The oldest and most fiercely bearded of the men said harshly:|The oldest and most fiercely bearded of the men said harshly:
piratesofersatz_07_leinster_64kb_f000059|I am the leader here. We are the people of Colin. He frowned when Hoddan's expression remained unchanged. The people of Colin! he repeated more loudly.|I am the leader here. We are the people of Colin. He frowned when Hoddan's expression remained unchanged. The people of Colin! he repeated more loudly.
piratesofersatz_07_leinster_64kb_f000060|The people whose forefathers settled that planet, and brought it to be a world of peace and plenty — and then foolishly welcomed strangers to their midst!|The people whose forefathers settled that planet, and brought it to be a world of peace and plenty - and then foolishly welcomed strangers to their midst!
piratesofersatz_07_leinster_64kb_f000061|Too bad, said Hoddan. He knew what these people were doing, he believed, but putting a name to where they'd come from told him nothing of what they wanted of Darth.|Too bad, said Hoddan. He knew what these people were doing, he believed, but putting a name to where they'd come from told him nothing of what they wanted of Darth.
piratesofersatz_07_leinster_64kb_f000062|We made it a fair world, said the bearded man fiercely. But it was my great-grandfather who destroyed it. He believed that we should share it.|We made it a fair world, said the bearded man fiercely. But it was my great-grandfather who destroyed it. He believed that we should share it.
piratesofersatz_07_leinster_64kb_f000063|It was he who persuaded the Synod to allow strangers to settle among us, believing that they would become like us.|It was he who persuaded the Synod to allow strangers to settle among us, believing that they would become like us.
piratesofersatz_07_leinster_64kb_f000064|Hoddan nodded expectantly. These people were in some sort of trouble or they wouldn't have come out of overdrive. But they'd talked about it until it had become an emotionalized obsession that couldn't be summarized.|Hoddan nodded expectantly. These people were in some sort of trouble or they wouldn't have come out of overdrive. But they'd talked about it until it had become an emotionalized obsession that couldn't be summarized.
piratesofersatz_07_leinster_64kb_f000065|When they encountered a stranger, they had to picture their predicament passionately and at length.|When they encountered a stranger, they had to picture their predicament passionately and at length.
