hunters_space_01_f000001|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.
hunters_space_11_f000010|A very old magic.|A very old magic.
hunters_space_11_f000011|That too was not like Gunnar. He relied upon his sword, since the Norse gods were usually busy with their own affairs. Those gods ate their rejuvenating apples every day and then went out like healthy boys to see what was happening;|That too was not like Gunnar. He relied upon his sword, since the Norse gods were usually busy with their own affairs. Those gods ate their rejuvenating apples every day and then went out like healthy boys to see what was happening;
hunters_space_11_f000012|and though they meant well they usually were somewhere else when they were needed. Therefore, the use of magic bags and incantations was a lot of foolishness.|and though they meant well they usually were somewhere else when they were needed. Therefore, the use of magic bags and incantations was a lot of foolishness.
hunters_space_11_f000013|But here was Gunnar fondling a tightly-drawn buckskin bag as though it held eternity's secrets.|But here was Gunnar fondling a tightly-drawn buckskin bag as though it held eternity's secrets.
hunters_space_11_f000014|You ought to get yourself a witch-doctor's mask and a couple of hollowbones to whistle through, Odin had told him scathingly.|You ought to get yourself a witch-doctor's mask and a couple of hollowbones to whistle through, Odin had told him scathingly.
hunters_space_11_f000015|Never mind. Never mind. Old Gunnar will be there when they put out the fire and call the dogs. Now, you stay here in this room, Odin.|Never mind. Never mind. Old Gunnar will be there when they put out the fire and call the dogs. Now, you stay here in this room, Odin.
hunters_space_11_f000016|And don't go looking after any of these slave-girls. They are too pretty. And you are young. After all, there's no fool like a young fool.|And don't go looking after any of these slave-girls. They are too pretty. And you are young. After all, there's no fool like a young fool.
hunters_space_11_f000017|So don't go wandering off. Just stay here and polish your sword and wait until I return. I think my magic will do a great deal this afternoon.|So don't go wandering off. Just stay here and polish your sword and wait until I return. I think my magic will do a great deal this afternoon.
hunters_space_11_f000018|Touché! Jack Odin thought as Gunnar departed. So he's been worrying about me and the girls, has he?|Touche! Jack Odin thought as Gunnar departed. So he's been worrying about me and the girls, has he?
hunters_space_11_f000019|Odin polished his sword and looked at the paintings. But the entire palace seemed to be whispering. An air of tension hung over it.|Odin polished his sword and looked at the paintings. But the entire palace seemed to be whispering. An air of tension hung over it.
hunters_space_11_f000020|The halls were quiet, where servants usually were busily going back and forth.|The halls were quiet, where servants usually were busily going back and forth.
hunters_space_11_f000021|Once he heard shouts and the sound of fighting far off. There was a loud shot and a scream of pain. After that, the unusual quiet returned.|Once he heard shouts and the sound of fighting far off. There was a loud shot and a scream of pain. After that, the unusual quiet returned.
hunters_space_11_f000022|This was the sixth afternoon that he had spent on this enslaved world. Odin did not enjoy it. He tried to make plans to rescue Maya, but he had gone over those same plans many times before.|This was the sixth afternoon that he had spent on this enslaved world. Odin did not enjoy it. He tried to make plans to rescue Maya, but he had gone over those same plans many times before.
hunters_space_11_f000023|The Taj Mahal was well-guarded.|The Taj Mahal was well-guarded.
hunters_space_11_f000024|There was an unshaded road that went from the city to it. Also, the road was usually crowded with pilgrims.|There was an unshaded road that went from the city to it. Also, the road was usually crowded with pilgrims.
hunters_space_11_f000025|He never knew whether they went out there in some strong belief that here was a goddess from outer space, or whether they were forced to go.|He never knew whether they went out there in some strong belief that here was a goddess from outer space, or whether they were forced to go.
hunters_space_11_f000026|After all, Grim Hagen was clever He took a bath and changed clothes. Then Jack Odin read one of those books that Grim Hagen had stolen.|After all, Grim Hagen was clever He took a bath and changed clothes. Then Jack Odin read one of those books that Grim Hagen had stolen.
hunters_space_11_f000027|It was a first edition of the Rubaiyat, the one with the jeweled peacock cover, and it would have been worth a fortune back home.|It was a first edition of the Rubaiyat, the one with the jeweled peacock cover, and it would have been worth a fortune back home.
hunters_space_11_f000028|But here it was just another of Grim Hagen's treasures it was dusty and neglected, and Odin wondered if he were not the first to take a look at it since Hagen had brought it here.|But here it was just another of Grim Hagen's treasures it was dusty and neglected, and Odin wondered if he were not the first to take a look at it since Hagen had brought it here.
hunters_space_11_f000029|The windows were dark when Gunnar returned. Jack Odin sat by a single tiny light, and greeted his old friend in a glum and sour fashion. But Gunnar was in a gay mood.|The windows were dark when Gunnar returned. Jack Odin sat by a single tiny light, and greeted his old friend in a glum and sour fashion. But Gunnar was in a gay mood.
hunters_space_11_f000030|Look, I told you that my magic would do great tricks. See, the bag is nearly empty. He held the buckskin bag high and it was much thinner than before.|Look, I told you that my magic would do great tricks. See, the bag is nearly empty. He held the buckskin bag high and it was much thinner than before.
